      Source      Cruise     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_none  Min_none  Max_none   SD_none  Avg_draft Min_draft Max_draft  SD_draft
    USSUB-DG       1986b   6100077   1986  115.0  115.0  115.0      4   87.33   38.99   87.10   87.60   37.60   40.37     57     57118   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.05      0.00     25.35      2.54
    USSUB-DG       1986b   6100078   1986  115.0  115.0  115.0      4   87.80   45.21   87.60   88.00   42.80   47.62     49     49947   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.88      0.00     21.47      2.40
    USSUB-DG       1986b   6100079   1986  115.0  115.0  115.0      4   88.23   51.98   88.00   88.40   48.10   55.87     53     53109   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.64      0.00     22.32      1.90
    USSUB-DG       1986b   6100080   1986  115.0  115.0  115.0      4   88.63   64.12   88.40   88.80   57.60   70.64     55     55485   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.73      0.24     22.82      2.01
    USSUB-DG       1986b   6100081   1986  115.0  115.0  115.0      4   89.22   38.49   89.10   89.30   25.80   51.18     50     50077   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.72      0.35     21.28      1.98
    USSUB-DG       1986b   6100082   1986  115.0  115.0  115.0      4   88.96   16.13   88.80   89.10    8.90   23.37     49     49871   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.64      0.12     20.36      2.13
    USSUB-DG       1986b   6100083   1986  115.0  115.0  115.0      4   88.60    2.33   88.40   88.80    1.00    3.67     55     55106   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.10      0.20     26.97      2.73
    USSUB-DG       1986b   6100084   1986  115.0  115.0  115.0      4   88.04   -8.74   87.70   88.30  -16.50   -0.98     98     98570   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.85      0.00     27.26      2.66
    USSUB-DG       1986b   6100085   1986  115.0  115.0  115.0      4   87.50  -11.56   87.30   87.70  -12.90  -10.22     96     96171   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.78      0.00     26.06      2.17
    USSUB-DG        1987   6110086   1987  105.0  105.0  105.0      4   86.36 -108.95   86.30   86.40 -112.40 -105.51     49     49981   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      5.24      0.12     29.60      3.46
